variable,Aggr,value ,Times [min],x [km],y [km],z [km],Experiment
W,P90,0.381,160,30,84,7.0,000
W,P10,-0.369,205,96,126,0.0,000
W,mean W>0,0.5699999928474426,225,68,92,9.0,000
W,mean W<0,-0.2759999930858612,175,98,30,6.0,000
Reflectivity,P90,23.354,195,110,128,9.0,000
Reflectivity,mean r>0,29.388999938964844,150,68,96,9.0,000
Reflectivity,max r>0,60.0620002746582,60,72,82,5.0,000
Precipitation,P90,5.857,220,10,76,,000
Precipitation,mean r>0,7.672999858856201,175,100,60,,000
Precipitation,max r>0,158.95899963378906,240,70,78,,000
W,P90,0.36,80,82,92,13.0,001
W,P10,-0.355,210,56,114,4.0,001
W,mean W>0,0.5659999847412109,40,106,76,13.0,001
W,mean W<0,-0.26899999380111694,240,130,14,5.0,001
Reflectivity,P90,22.942,215,30,110,11.0,001
Reflectivity,mean r>0,29.474000930786133,115,48,92,5.0,001
Reflectivity,max r>0,59.946998596191406,35,72,76,5.0,001
Precipitation,P90,6.092,215,118,72,,001
Precipitation,mean r>0,7.683000087738037,235,52,58,,001
Precipitation,max r>0,159.9759979248047,240,70,76,,001
W,P90,0.382,105,118,96,12.0,002
W,P10,-0.355,105,70,44,6.0,002
W,mean W>0,0.5669999718666077,155,88,104,19.0,002
W,mean W<0,-0.27000001072883606,175,44,150,16.0,002
Reflectivity,P90,24.135,125,102,76,9.0,002
Reflectivity,mean r>0,29.416000366210938,205,72,50,5.0,002
Reflectivity,max r>0,60.159000396728516,30,72,76,5.0,002
Precipitation,P90,7.014,205,68,30,,002
Precipitation,mean r>0,7.46999979019165,205,74,28,,002
Precipitation,max r>0,155.38900756835938,240,70,78,,002
W,P90,0.376,185,90,124,9.0,003
W,P10,-0.366,180,20,76,0.0,003
W,mean W>0,0.5619999766349792,220,98,42,7.0,003
W,mean W<0,-0.27399998903274536,45,46,48,11.0,003
Reflectivity,P90,22.918,140,50,96,2.0,003
Reflectivity,mean r>0,29.402999877929688,80,74,62,1.0,003
Reflectivity,max r>0,60.49700164794922,65,72,86,5.0,003
Precipitation,P90,6.534,215,42,56,,003
Precipitation,mean r>0,7.192999839782715,190,72,120,,003
Precipitation,max r>0,146.4600067138672,240,70,82,,003
W,P90,0.474,220,42,108,1.0,004
W,P10,-0.763,110,142,32,8.0,004
W,mean W>0,0.5450000166893005,120,12,72,2.0,004
W,mean W<0,-0.4699999988079071,200,50,96,5.0,004
Reflectivity,P90,26.788,50,122,92,6.0,004
Reflectivity,mean r>0,24.485000610351562,45,24,4,3.0,004
Reflectivity,max r>0,60.56100082397461,105,8,16,0.0,004
Precipitation,P90,24.572,220,42,20,,004
Precipitation,mean r>0,9.369000434875488,200,46,80,,004
Precipitation,max r>0,102.37899780273438,240,156,114,,004
W,P90,0.382,125,142,42,17.0,005
W,P10,-0.365,230,88,140,6.0,005
W,mean W>0,0.5640000104904175,235,24,152,5.0,005
W,mean W<0,-0.27300000190734863,130,40,62,17.0,005
Reflectivity,P90,23.139,165,14,96,1.0,005
Reflectivity,mean r>0,29.424999237060547,170,72,70,9.0,005
Reflectivity,max r>0,60.22800064086914,80,72,90,4.0,005
Precipitation,P90,6.138,230,90,12,,005
Precipitation,mean r>0,7.626999855041504,170,68,42,,005
Precipitation,max r>0,154.78900146484375,240,70,78,,005
W,P90,0.351,110,126,54,12.0,006
W,P10,-0.342,100,60,98,9.0,006
W,mean W>0,0.5289999842643738,215,114,10,7.0,006
W,mean W<0,-0.25999999046325684,85,76,118,13.0,006
Reflectivity,P90,20.756,225,66,44,8.0,006
Reflectivity,mean r>0,29.2189998626709,200,72,40,5.0,006
Reflectivity,max r>0,60.02000045776367,30,72,76,5.0,006
Precipitation,P90,4.891,220,52,118,,006
Precipitation,mean r>0,6.834000110626221,185,98,114,,006
Precipitation,max r>0,136.47300720214844,240,70,78,,006
W,P90,0.248,55,32,84,15.0,007
W,P10,-0.254,195,90,28,7.0,007
W,mean W>0,0.3959999978542328,130,106,58,9.0,007
W,mean W<0,-0.20100000500679016,235,92,0,7.0,007
Reflectivity,P90,5.313,240,146,118,9.0,007
Reflectivity,mean r>0,28.577999114990234,180,70,58,8.0,007
Reflectivity,max r>0,59.76900100708008,20,74,76,5.0,007
Precipitation,P90,2.114,190,106,42,,007
Precipitation,mean r>0,5.198999881744385,210,106,94,,007
