Experiment,Total Sum,Max Value,Ratio,Mean,Cluster
000,308561.53,60.30071,0.00019542524,49.44104,3
001,307391.34,59.635788,0.00019400608,49.25354,3
002,293528.56,61.365532,0.00020906153,47.032295,3
003,308493.0,61.285606,0.00019866125,49.430058,3
004,4667.5713,59.794262,0.012810573,26.370459,1
005,12339.401,58.275158,0.0047226893,22.034645,1
006,8410.0,55.740715,0.006627909,20.363195,1
007,7632.9854,54.791775,0.007178289,20.685596,1
008,2988.563,58.320004,0.019514397,26.92399,1
009,8624.078,55.869312,0.006478294,19.644825,1
010,280389.62,61.713478,0.00022009901,46.15467,3
011,279579.56,59.736744,0.00021366635,44.890747,3
012,245898.67,59.39955,0.0002415611,41.96223,2
013,244880.6,59.94001,0.0002447724,41.73864,2
014,247067.66,59.41846,0.0002404947,42.349617,2
015,252240.02,59.316574,0.00023515926,42.04,2
016,301473.12,59.200775,0.00019637165,48.30526,3
017,297873.06,60.84911,0.00020427867,47.72842,3
018,79054.99,59.83276,0.0007568499,34.32696,0
019,78787.9,59.4432,0.00075447117,34.43527,0
020,102407.016,60.585365,0.0005916134,32.634487,0
021,79316.59,59.6292,0.0007517872,33.062355,0
022,2061.5935,49.910957,0.024209892,19.823015,1
023,2338.4336,49.944794,0.021358225,19.011656,1
024,112631.76,59.590637,0.0005290749,34.193005,0
025,109213.7,59.73641,0.0005469681,34.948383,0
026,161150.81,60.75038,0.00037697842,34.903793,0
027,98886.13,59.54853,0.00060219294,31.929651,0
028,307512.94,59.935387,0.00019490362,49.27302,3
029,288654.0,60.16899,0.00020844676,46.251244,3
030,222569.84,59.583923,0.00026770888,40.225887,2
031,221941.1,60.31497,0.00027176115,39.996593,2
032,243905.12,59.056732,0.00024212993,41.290863,2
033,220511.84,60.420376,0.0002740006,40.77512,2
034,5574.2812,55.331997,0.009926301,20.877459,1
035,2697.4485,55.789795,0.020682432,25.447628,1
036,2226.7651,57.589672,0.025862481,27.834564,1
037,2271.7195,56.95209,0.025070038,27.04428,1
038,4465.079,54.03295,0.01210123,21.67514,1
039,2201.524,57.87076,0.026286684,27.519049,1
040,11235.803,59.716522,0.0053148423,31.650148,1
041,105516.14,59.738472,0.00056615483,32.446537,0
042,306231.7,60.76956,0.00019844309,49.067726,3
043,284041.28,59.24463,0.00020857753,45.512142,3
044,297056.84,61.6668,0.0002075926,47.597637,3
045,294964.38,60.777855,0.00020605151,47.26236,3
046,248037.4,59.506077,0.00023990768,41.76417,2
047,260856.28,59.10528,0.00022658179,42.346798,3
048,233661.94,59.872993,0.0002562377,38.989143,2
049,229387.62,59.85491,0.00026093348,38.8595,2
050,205122.78,59.558876,0.0002903572,38.383755,2
051,222845.0,59.663292,0.0002677345,38.81641,2
052,299815.5,61.80274,0.0002061359,48.039658,3
053,295952.75,60.815815,0.00020549164,47.420727,3
054,138454.23,59.43799,0.000429297,34.04333,0
055,135135.05,59.52905,0.00044051526,33.048435,0
056,122646.125,59.530807,0.0004853868,33.102867,0
057,142530.7,60.67974,0.000425731,35.19277,0
058,7712.096,58.317196,0.007561783,23.159449,1
059,6001.76,59.17956,0.009860368,23.536312,1
060,301705.56,59.289703,0.00019651512,48.342503,3
061,302712.56,60.73925,0.00020064991,48.503857,3
062,308724.56,59.710903,0.00019341157,49.467163,3
063,302811.6,59.550747,0.0001966594,48.519722,3
064,152222.12,60.09422,0.00039477978,33.61796,0
065,133198.33,59.767982,0.0004487142,34.092228,0
066,796.2938,46.46404,0.05835037,24.884182,1
067,700.80615,43.650864,0.062286645,21.23655,1
068,776.4656,45.638577,0.058777332,23.52926,1
069,856.3407,44.93315,0.052471116,21.408518,1
070,233217.6,60.817642,0.0002607764,40.39099,2
071,243522.8,61.409092,0.0002521698,41.052395,2
072,3359.7908,59.361816,0.017668307,26.878326,1
073,3362.468,59.286274,0.017631773,26.899744,1
074,5369.7334,55.65583,0.010364729,23.2456,1
075,3358.7263,59.314903,0.01765994,27.086502,1
076,5648.74,60.30577,0.010675969,28.103186,1
077,47793.156,59.142174,0.0012374611,30.77473,1
078,299942.12,61.24236,0.00020418059,48.059948,3
079,304980.72,61.01407,0.00020005877,48.867283,3
080,301666.22,61.030605,0.0002023117,48.3362,3
081,296286.38,60.065517,0.00020272791,47.474182,3
082,274236.5,60.445732,0.00022041461,44.809887,3
083,264507.2,59.48943,0.00022490666,42.703777,3
084,7565.959,59.01796,0.00780046,23.13749,1
085,7493.8105,59.305664,0.007913953,23.272703,1
086,4843.767,59.790905,0.012343885,24.83983,1
087,7589.8574,59.07179,0.0077829906,23.210573,1
088,298073.7,59.976204,0.00020121268,47.760567,3
089,306410.62,59.28923,0.000193496,49.096397,3
090,286883.0,61.87118,0.00021566695,45.967472,3
091,284122.8,61.087276,0.00021500306,45.525208,3
092,278739.8,60.008694,0.00021528569,44.684162,3
093,302501.62,61.07349,0.00020189476,48.47006,3
094,2293.6848,51.0983,0.02227782,19.945086,1
095,2951.2168,50.988937,0.01727726,19.040108,1
096,2682.6196,52.853554,0.019702217,23.531752,1
097,3197.441,53.45451,0.016717903,21.90028,1
098,2618.0073,52.607586,0.020094514,24.018415,1
099,3178.8052,52.39005,0.016481051,22.705751,1
100,301373.34,60.167877,0.00019964566,48.289272,3
101,307433.7,60.607937,0.00019714149,49.260326,3
102,286452.06,60.26101,0.00021037032,45.898422,3
103,294260.8,62.029476,0.0002107976,47.149624,3
104,300887.12,59.56428,0.00019796222,48.211365,3
105,290206.12,60.660652,0.0002090261,46.49994,3
106,5275.465,54.229454,0.0102795595,19.68457,1
107,3225.7087,52.947083,0.016414093,21.79533,1
108,9078.441,60.660633,0.0066818334,31.090553,1
109,13450.113,60.5041,0.004498408,31.573036,1
110,120535.57,60.275066,0.0005000604,31.9723,0
111,19064.373,60.698833,0.0031838883,30.502996,1
112,6165.3804,60.76385,0.009855653,28.945448,1
113,103717.94,61.43832,0.00059235963,30.595263,0
114,265674.8,60.085278,0.00022616099,43.37548,3
115,236843.47,60.42475,0.00025512525,42.759247,2
116,248803.34,59.661713,0.00023979465,40.495335,2
117,247083.5,59.94075,0.00024259309,41.708897,2
118,272560.44,59.93126,0.00021988247,44.225285,3
119,254077.88,59.469578,0.00023406044,42.730892,2
120,259617.81,59.434544,0.00022893092,43.269634,2
121,262753.25,59.37623,0.00022597714,43.574337,3
122,259194.08,59.427254,0.00022927705,42.490833,2
123,260937.56,59.46072,0.00022787336,43.009323,3
124,179347.94,59.6034,0.0003323339,35.599033,2
125,180062.05,59.815636,0.00033219458,35.762074,2
